player_type,player_key,playerid,mlbamid,name,team,weekly_projection_index,projection_rank
pitcher,27474,27474,676974,Max Meyer,MIA,66.6,111
batter,14162,14162,621043,Carlos Correa,HOU,66.5,112
pitcher,31621,31621,693686,Spencer Miles,TOR,66.5,113
batter,25768,25768,682928,CJ Abrams,WSN,66.2,114
batter,27462,27462,668885,Austin Martin,MIN,66.1,115
pitcher,16149,16149,605400,Aaron Nola,PHI,65.9,116
pitcher,21483,21483,663556,Shane McClanahan,TBR,65.9,117
batter,20599,20599,671056,Iván Herrera,STL,65.8,118
batter,26991,26991,683679,Jesus Rodriguez,SFG,65.6,119
pitcher,25436,25436,669923,George Kirby,SEA,65.5,120
batter,16578,16578,650490,Yandy Díaz,TBR,65.4,121
batter,21837,21837,666018,Jonathan Aranda,TBR,65.3,122
batter,31812,31812,701350,Roman Anthony,BOS,65.2,123
batter,22664,22664,672515,Gabriel Moreno,ARI,65.1,124
batter,25976,25976,682985,Riley Greene,DET,65.0,125
pitcher,18679,18679,642547,Freddy Peralta,NYM,64.9,126
batter,29976,29976,691783,Jordan Lawlar,ARI,64.7,127
batter,4949,4949,519317,Giancarlo Stanton,NYY,64.6,128
pitcher,22543,22543,671737,Taj Bradley,MIN,64.5,129
batter,15653,15653,642086,Dominic Smith,ATL,64.2,130
batter,15711,15711,641933,Tyler O'Neill,BAL,64.2,131
batter,27676,27676,686469,Vinnie Pasquantino,KCR,63.9,132
batter,24934,24934,681807,David Fry,CLE,63.8,133
batter,31441,31441,691740,Daniel Susac,SFG,63.7,134
batter,17128,17128,657656,Ramón Laureano,SDP,63.7,135
batter,18314,18314,621020,Dansby Swanson,CHC,63.4,136
batter,13066,13066,606192,Teoscar Hernández,LAD,63.2,137
batter,17678,17678,608324,Alex Bregman,CHC,62.9,138
batter,19709,19709,665487,Fernando Tatis Jr.,SDP,62.9,139
pitcher,21690,21690,665795,Edward Cabrera,CHC,62.8,140
batter,12856,12856,543807,George Springer,TOR,62.8,141
batter,29490,29490,701538,Jackson Merrill,SDP,62.7,142
batter,18900,18900,665750,Leody Taveras,BAL,62.3,143
batter,26477,26477,687462,Spencer Horwitz,PIT,62.3,144
batter,20178,20178,678246,Miguel Vargas,CHW,62.1,145
pitcher,30122,30122,668909,Gavin Williams,CLE,61.9,146
batter,33322,33322,807713,Matt Shaw,CHC,61.8,147
batter,24679,24679,680977,Brendan Donovan,SEA,61.4,148
pitcher,19867,19867,656288,Griffin Canning,SDP,61.4,149
batter,15878,15878,609280,Miguel Andujar,SDP,61.2,150
batter,19358,19358,642215,Weston Wilson,BAL,61.2,151
pitcher,27468,27468,672282,Reid Detmers,LAA,61.1,152
batter,27465,27465,679529,Spencer Torkelson,DET,61.1,153
batter,27615,27615,676475,Alec Burleson,STL,60.8,154
batter,15518,15518,642708,Amed Rosario,NYY,60.8,155
batter,25180,25180,682177,Daniel Schneemann,CLE,60.8,156
pitcher,19853,19853,650633,Michael King,SDP,60.8,157
batter,12927,12927,607043,Brandon Nimmo,TEX,60.6,158
batter,11477,11477,592885,Christian Yelich,MIL,60.5,159
batter,19918,19918,662139,Daulton Varsho,TOR,60.5,160
batter,11680,11680,553869,Elias Díaz,KCR,60.5,161
batter,20572,20572,665019,Kody Clemens,MIN,60.4,162
pitcher,23796,23796,677960,Ryan Weathers,NYY,60.3,163
batter,19960,19960,666211,Taylor Trammell,HOU,60.3,164
batter,27475,27475,691023,Jordan Walker,STL,59.9,165
batter,5417,5417,514888,Jose Altuve,HOU,59.9,166
pitcher,22201,22201,669022,MacKenzie Gore,TEX,59.8,167
batter,27464,27464,693307,Dillon Dingler,DET,59.6,168
batter,31837,31837,807799,Masataka Yoshida,BOS,59.6,169
batter,27562,27562,669224,Austin Wells,NYY,59.5,170
pitcher,26448,26448,686790,Trevor McDonald,SFG,59.5,171
batter,29478,29478,695600,Carter Jensen,KCR,59.2,172
batter,19354,19354,670042,Luke Raley,SEA,59.2,173
pitcher,35456,35456,702056,Trey Yesavage,TOR,59.2,174
batter,25477,25477,686555,Isaac Collins,KCR,59.1,175
batter,21797,21797,665953,Andrés Chaparro,WSN,59.0,176
batter,26299,26299,673962,Josh Jung,TEX,59.0,177
batter,19287,19287,666969,Adolis García,PHI,58.6,178
batter,29766,29766,680869,Zack Gelof,ATH,58.6,179
